"","total_cont","total_cust","zip_code","lat","long"
"408",600,5,16646,40.670162,-78.70932
"409",1693.5,30,16648,40.439272,-78.37421
"410",1300,10,16652,40.498403,-77.99417
"411",25,1,16662,40.306709,-78.31987
"412",175,5,16666,40.85258,-78.28335
"413",35,2,16683,40.662087,-78.07012
"414",125.5,5,16686,40.666444,-78.24353
"415",245,7,16801,40.792011,-77.84993
"416",1281.48,11,16803,40.802661,-77.89936
"417",50,2,16823,40.91255,-77.77387
"418",3579,38,16830,41.026239,-78.43838
"419",25,1,16833,40.948433,-78.55176
"420",75,3,16870,40.801396,-78.045
"421",25,1,17013,40.203458,-77.19987
"422",650,1,17101,40.261839,-76.88279
"423",1525,12,17111,40.264389,-76.80298
"424",50,2,17202,39.92,-77.71
"425",50,2,17228,39.995374,-78.09348
"426",50,2,17257,40.053308,-77.50622
"427",150,4,17325,39.827337,-77.22904
"428",50,1,17356,39.90035,-76.59778
"429",115,5,17512,40.037682,-76.49011
"430",25,1,17552,40.109445,-76.50919
"431",25,1,17579,39.9656,-76.17781
"432",25,1,17751,41.108454,-77.49516
"433",25,1,17822,40.967437,-76.604896
"434",50,1,18017,40.645665,-75.36926
"435",105,3,18020,40.656498,-75.32938
"436",25,1,18042,40.681798,-75.22082
"437",25,1,18052,40.651751,-75.49224
"438",30,1,18078,40.675741,-75.61626
"439",10,1,18080,40.739576,-75.62113
"440",25,1,18355,41.074757,-75.36259
"441",25,1,18901,40.317473,-75.12854
"442",250,1,18938,40.354735,-74.99319
"443",25,1,19002,40.169608,-75.21158
"444",505,2,19010,40.02371,-75.32764
"445",25,1,19027,40.072293,-75.12406
"446",25,1,19044,40.184758,-75.14386
"447",5,1,19064,39.929511,-75.33562
"448",150,3,19066,40.003762,-75.2493
"449",25,1,19073,39.98451,-75.41265
"450",435,3,19083,39.978728,-75.30861
"451",10,1,19087,40.058808,-75.40069
"452",25,1,19130,39.968262,-75.17222
"453",25,1,19146,39.938512,-75.18067
"454",180,1,19312,40.037958,-75.44986
"455",25,1,19403,40.146069,-75.38378
"456",50,1,19422,40.157526,-75.27816
"457",100,2,19606,40.327741,-75.87002
"458",30,2,19610,40.335023,-75.97099
"459",50,1,19803,39.793962,-75.53401
"460",400,4,19953,39.150822,-75.70428
"461",25,1,19966,38.601355,-75.2411
"462",10,1,19977,39.29799,-75.59391
"463",50,2,20002,38.901811,-76.99097
"464",25,1,20008,38.934866,-77.06039
"465",260,8,20011,38.95211,-77.02097
"466",25,1,20024,38.880112,-77.02362
"467",5,1,20169,38.860551,-77.64947
"468",25,1,20170,38.977109,-77.38527
"469",25,1,20175,39.080037,-77.58025
"470",350,5,20176,39.138978,-77.54519
"471",125,3,20190,38.959673,-77.3462
"472",25,1,20740,38.99756,-76.92577
"473",25,1,20785,38.920111,-76.889
"474",100,1,20817,38.996842,-77.13519
"475",25,1,20872,39.284185,-77.22752
"476",25,1,20879,39.168656,-77.18716
"477",680,4,21061,39.164158,-76.6306
"478",50,1,21087,39.444457,-76.40817
"479",25,1,21108,39.099957,-76.62114
"480",25,1,21120,39.656737,-76.66001
"481",25,1,21204,39.405606,-76.62648
"482",25,1,21223,39.286556,-76.64644
"483",25,1,21403,38.946462,-76.48358
"484",7950,34,21502,39.646587,-78.77398
"485",125,5,21536,39.675393,-79.17045
"486",50,2,21550,39.409861,-79.39015
"487",555,4,21740,39.633946,-77.73025
"488",25,1,21758,39.342991,-77.66014
"489",50,2,21774,39.408627,-77.28676
"490",25,1,22043,38.901311,-77.19777
"491",25,1,22101,38.93276,-77.1677
"492",10,1,22124,38.88619,-77.32402
"493",25,1,22201,38.885337,-77.09512
"494",280,7,22207,38.903697,-77.12749
"495",75,2,22734,38.52916,-77.80274
"496",12000,6,22844,38.652274,-78.66417
"497",25,1,22902,38.00847,-78.47803
"498",25,1,23112,37.427988,-77.64868
"499",10,1,23114,37.48,-77.65
"500",60,3,23228,37.621745,-77.48896
"501",100,3,23322,36.687543,-76.22905
"502",25,1,23452,36.839209,-76.09333
"503",740,7,23608,37.151315,-76.54812
"504",50,1,24471,38.310311,-78.80409
"505",25,1,25271,38.803814,-81.70763
"506",25,1,25314,38.335969,-81.66084
"507",1250,4,25411,39.567987,-78.22783
"508",25,1,25705,38.410745,-82.36995
"509",6009,85,26003,40.071472,-80.6868
"510",75,3,26034,40.609272,-80.55893
"511",350,2,26035,40.352943,-80.55585
"512",460,13,26037,40.330969,-80.58889
"513",25,1,26038,39.951586,-80.74994
"514",125,5,26041,39.912923,-80.73701
"515",20,1,26047,40.519953,-80.58925
"516",15,1,26055,39.768143,-80.79867
"517",115,5,26060,40.104818,-80.54634
"518",5622,72,26062,40.412067,-80.57542
"519",185,5,26070,40.266698,-80.59709
"520",105,3,26104,39.285724,-81.52639
"521",100,3,26105,39.323907,-81.54206
"522",2210,23,26155,39.646099,-80.83465
"523",25,1,26167,39.550395,-80.71163
"524",350,7,26201,38.997267,-80.20915
"525",500,11,26241,38.920042,-79.8446
"526",318.75,11,26301,39.281289,-80.34348
"527",4995,22,26302,39.26277,-80.30858
"528",1805,12,26330,39.296499,-80.24199
"529",225,4,26347,39.258358,-80.12604
"530",25,1,26378,39.106153,-80.42691
"531",125,4,26385,39.163304,-80.35527
"532",5,1,26426,39.284467,-80.57219
"533",1635,30,26501,39.628475,-79.98796
"534",915,13,26505,39.646497,-79.95154
"535",25,1,26507,39.680786,-79.836473
"536",1235,22,26508,39.61098,-79.89947
"537",25,1,26531,39.607447,-79.89012
"538",50,2,26537,39.472924,-79.69873
"539",410,15,26554,39.470949,-80.13936
"540",25,1,26571,39.513513,-80.25738
"541",25,1,27030,36.49376,-80.62336
"542",25,1,27409,36.083885,-79.94122
"543",25,1,27519,35.76812,-78.829548
"544",25,1,27614,35.939255,-78.60317
"545",1365,6,27932,36.093252,-76.62077
"546",10,1,28104,35.067285,-80.68424
"547",1640,8,28117,35.571827,-80.89228
"548",90,1,28209,35.178543,-80.85375
"549",10500,9,28211,35.170094,-80.79857
"550",25,1,28348,34.954709,-78.93744
"551",25,1,28358,34.620874,-78.98986
"552",150,2,28405,34.254235,-77.87251
"553",400,3,28466,34.738793,-77.97788
"554",300,6,28467,33.905566,-78.5759
"555",505,5,29016,34.200042,-80.98653
"556",25,1,29485,32.983408,-80.17627
"557",160,1,29576,33.568115,-79.03226
"558",75,3,29579,33.729439,-78.97824
"559",160,4,29585,33.467343,-79.1301
"560",100,1,29732,34.969427,-81.0509
"561",20000,4,29803,33.486049,-81.70946
"562",25,1,29910,32.241315,-80.87404
"563",194694,34,29928,32.159476,-80.75144
"564",75,3,30033,33.811354,-84.28335
"565",25,1,30064,33.946735,-84.602
"566",25,1,30075,34.049789,-84.38539
"567",25,1,30240,33.029838,-85.0745
"568",25,1,30319,33.872053,-84.33611
"569",25,1,32034,30.641487,-81.46092
"570",3,1,32068,30.074926,-81.87932
"571",25,1,32082,30.189934,-81.38213
"572",100,2,32127,29.116361,-80.98175
"573",25,1,32137,29.581683,-81.21645
"574",90,3,32162,28.945246,-81.987609
"575",100,1,32163,28.93,-81.95
"576",12030,29,32168,29.016897,-80.95736
"577",150,2,32169,28.998887,-80.87561
"578",25,1,32216,30.28374,-81.58359
"579",25,1,32720,29.021782,-81.33352
"580",300,6,32763,28.945857,-81.30512
"581",25,1,32765,28.656375,-81.21026
"582",225,3,32801,28.541879,-81.37446
"583",25,1,32803,28.557579,-81.35244
"584",25,1,32807,28.546897,-81.30774
"585",867,9,32821,28.391608,-81.47345
"586",100,3,32832,28.395979,-81.17653
"587",75,3,32837,28.385906,-81.41182
"588",300,6,32926,28.392933,-80.79585
"589",25,1,33015,25.938687,-80.3182
"590",75,3,33016,25.887983,-80.33284
"591",25,1,33040,24.567593,-81.7566
"592",25,1,33067,26.3007,-80.22727
"593",75,2,33071,26.242559,-80.26564
"594",100,2,33138,25.853184,-80.18622
"595",25,1,33328,26.062016,-80.27202
"596",15,1,33330,26.05479,-80.31581
"597",50,2,33410,26.839588,-80.08824
"598",200,7,33414,26.65671,-80.25377
"599",200,4,33418,26.877984,-80.16052
"600",5,1,33433,26.347711,-80.15648
"601",95,4,33434,26.382408,-80.16699
"602",25,1,33437,26.522249,-80.15031
"603",1225,10,33472,26.53,-80.19
"604",30,2,33483,26.465051,-80.06517
"605",150,3,33545,28.28,-82.29
"606",25,1,33572,27.771988,-82.41078
"607",25,1,33602,27.956149,-82.45723
"608",400,5,33626,28.052799,-82.61135
"609",200,2,33703,27.816977,-82.62795
"610",50,1,33905,26.680407,-81.74812
"611",2075,21,33908,26.502677,-81.93052
"612",25,1,34108,26.252711,-81.80825
"613",6146,24,34109,26.240637,-81.76663
"614",3100,13,34112,26.121546,-81.75251
"615",10,1,34119,26.256551,-81.7186
"616",325,6,34135,26.348523,-81.77391
"617",3930,20,34201,27.400627,-82.47104
"618",75,2,34203,27.448369,-82.52324
"619",250,1,34212,27.48,-82.57
"620",20755,11,34236,27.333014,-82.54613
"621",325,1,34242,27.275225,-82.54934
"622",1286,19,34293,27.055013,-82.3973
"623",20,1,34748,28.797245,-81.88466
"624",100,1,34986,27.341158,-80.39786
"625",25,1,35223,33.488355,-86.73402
"626",100,2,35242,33.409582,-86.69684
"627",25,1,37604,36.312633,-82.3802
"628",100,2,37774,35.725969,-84.33069
"629",25,1,40206,38.254671,-85.70254
"630",25,1,40245,38.270855,-85.48322
"631",150,6,40391,37.98223,-84.17023
"632",125,2,40591,38.028269,-84.471505
"633",39,1,41017,39.036361,-84.56801
"634",25,1,41635,37.509291,-82.63494
"635",100,2,43015,40.295925,-83.06968
"636",3840,9,43016,40.089811,-83.13983
"637",25,1,43017,40.109478,-83.12713
"638",500,9,43055,40.079115,-82.40054
"639",160,4,43068,39.956384,-82.7961
"640",25,1,43081,40.109513,-82.91606
"641",25,1,43085,40.097796,-83.02076
"642",25,1,43138,39.530972,-82.40801
"643",25,1,43201,39.990764,-83.00117
"644",25,1,43205,39.957265,-82.96587
"645",50,1,43209,39.958564,-82.92824
"646",3,1,43212,39.988114,-83.04268
"647",80,6,43215,39.965131,-83.00431
"648",500,6,43220,40.047273,-83.06986
"649",50,1,43221,40.02063,-83.07655
"650",25,1,43230,40.039963,-82.87855
"651",25,1,43616,41.646398,-83.46933
"652",25,1,43701,39.949377,-82.00492
"653",75,3,43713,39.989191,-81.17197
"654",25,1,43718,40.028171,-81.00679
"655",25,1,43725,40.025859,-81.59243
"656",225,3,43906,40.01558,-80.76343
"657",25,1,43910,40.361891,-80.81953
"658",275,10,43912,40.074284,-80.77447
"659",1936,10,43913,40.26212,-80.6356
"660",3275,57,43920,40.641545,-80.57469
"661",275,2,43933,39.938218,-80.89033
"662",7811.5,14,43935,40.103877,-80.73327
"663",318,8,43938,40.318569,-80.64172
"664",1395,10,43944,40.43273,-80.76692
"665",345,7,43950,40.086725,-80.90826
"666",8965,59,43952,40.371185,-80.63426
"667",3941,72,43953,40.369467,-80.70251
"668",201.5,5,43964,40.465183,-80.62364
"669",1435,3,43976,40.352364,-80.90465
"670",25,1,43977,40.147388,-81.11291
"671",235,4,43986,40.374942,-80.99193
"672",50,1,44001,41.386533,-82.23419
"673",80,2,44111,41.459399,-81.78174
"674",175,3,44113,41.484688,-81.70125
"675",20,2,44118,41.499202,-81.55434
"676",450,9,44120,41.472352,-81.58211
"677",25,1,44139,41.388387,-81.44365
"678",25,1,44145,41.454439,-81.92865
"679",25,1,44221,41.141456,-81.47928
"680",1010,5,44236,41.248795,-81.44679
"681",25,1,44240,41.148756,-81.35302
"682",980,6,44256,41.139849,-81.85646
"683",25,1,44278,41.093156,-81.42692
"684",10,1,44281,41.037664,-81.73368
"685",285,6,44321,41.102587,-81.65092
"686",25,1,44403,41.239987,-80.58346
"687",630,19,44406,41.029666,-80.76396
"688",25,1,44410,41.333312,-80.7264
"689",1925,20,44413,40.838456,-80.54601
"690",50,1,44417,41.428487,-80.65551
"691",50,2,44425,41.166743,-80.57733
"692",125,5,44432,40.757793,-80.7642
"693",125,3,44436,41.046606,-80.54145
"694",25,1,44442,40.966908,-80.55862
"695",30,3,44443,40.917556,-80.60039
"696",25,1,44444,41.188981,-80.96964
"697",25,1,44452,40.951859,-80.6549
"698",605,16,44460,40.898658,-80.86094
"699",75,3,44473,41.236248,-80.66265
"700",800,2,44509,41.106249,-80.69471
"701",25,1,44511,41.069158,-80.69134
"702",6875,25,44512,41.032675,-80.66467
"703",785,22,44514,41.016159,-80.61549
"704",75,3,44515,41.099008,-80.74545
"705",10,1,44609,40.898618,-80.99304
"706",25,1,44622,40.537509,-81.48791
"707",570,11,44646,40.805131,-81.50101
"708",25,1,44663,40.477187,-81.44439
"709",15,1,44667,40.835059,-81.77006
"710",20,1,44683,40.373604,-81.34146
"711",25,1,44695,40.433246,-81.18764
"712",25,1,44705,40.821858,-81.34253
"713",100,3,44709,40.836508,-81.38548
"714",50,2,44718,40.850683,-81.43773
"715",25,1,44813,40.606221,-82.52073
"716",25,1,45040,39.344258,-84.3152
"717",100,1,45208,39.13786,-84.43426
"718",25,1,45373,40.036525,-84.20629
"719",25,1,45429,39.687459,-84.15595
"720",75,1,45729,39.420916,-81.5936
"721",5,1,46062,40.05,-86.03
"722",25,1,46162,39.542985,-85.95928
"723",25,1,46574,41.472858,-86.49379
"724",25,1,46825,41.150677,-85.12181
"725",25,1,47274,38.958688,-85.89917
"726",25,1,48103,42.280887,-83.79147
"727",25,1,48104,42.266805,-83.72297
"728",10,1,48105,42.307288,-83.70443
"729",250,1,48124,42.294987,-83.25049
"730",25,1,48134,42.107026,-83.28711
"731",220,8,48823,42.747922,-84.47143
"732",650,8,49127,42.015092,-86.51351
"733",3.5,1,49512,42.888821,-85.5616
"734",25,1,49601,44.243788,-85.46006
"735",10,1,52060,42.087769,-90.67352
"736",25,1,53186,43.015289,-88.20924
"737",50,2,53202,43.046213,-87.9005
"738",150,1,53703,43.078646,-89.37727
"739",25,1,55121,44.844965,-93.14431
"740",1100,5,55364,44.933712,-93.66038
"741",50,1,55424,44.904414,-93.34045
"742",25,1,57401,45.46932,-98.49646
"743",25,1,60002,42.46617,-88.09995
"744",25,1,60031,42.375821,-87.93517
"745",25,1,60091,42.077178,-87.72373
"746",50,2,60514,41.779533,-87.95798
"747",25,1,60611,41.904667,-87.62504
"748",1100,8,60613,41.953256,-87.6629
"749",50,2,60647,41.921126,-87.70085
"750",25,1,60657,41.940832,-87.65852
"751",25,1,60660,41.990631,-87.6667
"752",25,1,64148,39.035038,-94.356728
"753",25,1,66208,38.999505,-94.63102
"754",225,9,66211,38.925159,-94.64136
"755",25,1,70065,30.022853,-90.25133
"756",25,1,70471,30.400949,-90.08105
"757",25,1,70508,30.163368,-92.01974
"758",25,1,72401,35.844795,-90.68443
"759",25,1,72712,36.362525,-94.23308
"760",25,1,75248,32.968123,-96.78863
"761",25,1,76262,33.000177,-97.21871
"762",25,1,76520,30.851922,-96.96323
"763",100,1,76549,31.084108,-97.79149
"764",25,1,77001,29.813142,-95.309789
"765",25,1,77023,29.725961,-95.3227
"766",25,1,77024,29.773994,-95.51771
"767",25,1,77040,29.878345,-95.53337
"768",250,2,77377,29.83399,-95.434241
"769",75,3,77380,30.143485,-95.46821
"770",100,2,77382,30.214741,-95.53212
"771",25,1,77573,29.502759,-95.08906
"772",300,3,77840,30.614647,-96.32641
"773",200,4,78130,29.699844,-98.10754
"774",100,2,78228,29.457281,-98.5665
"775",370,5,78664,30.514401,-97.65549
"776",10,1,78704,30.246309,-97.76087
"777",70,3,80118,39.206652,-104.90983
"778",375,10,82601,42.896822,-106.29799
"779",10,1,83301,42.530288,-114.47509
"780",25,1,84004,40.465161,-111.76279
"781",25,1,84065,40.503746,-111.96327
"782",25,1,84106,40.706246,-111.85657
"783",40,2,85022,33.630497,-112.0521
"784",175,7,85255,33.697268,-111.88321
"785",136,3,85266,33.276539,-112.18717
"786",25,1,85338,33.430922,-112.38482
"787",175,5,85374,33.643508,-112.38502
"788",50,2,85715,32.247175,-110.82864
"789",25,1,87114,35.196446,-106.67336
"790",25,1,87544,35.86849,-106.29536
"791",25,1,90025,34.045006,-118.44527
"792",25,1,90212,34.060859,-118.40191
"793",50,2,90262,33.924642,-118.20186
"794",25,1,91505,34.166906,-118.34366
"795",250,2,91604,34.143856,-118.39429
"796",25,1,92130,32.946776,-117.21918
"797",25,1,92203,33.75307,-116.24688
"798",25,1,92509,33.998751,-117.44695
"799",3.5,1,92614,33.680408,-117.82592
"800",25,1,92705,33.762117,-117.81828
"801",25,1,92868,33.787266,-117.87494
"802",2.75,1,93455,34.87455,-120.42806
"803",150,3,93906,36.709717,-121.63997
"804",25,1,93923,36.517261,-121.89436
"805",30,1,94107,37.766529,-122.39577
"806",5,1,94112,37.720931,-122.44241
"807",2820,9,94127,37.734964,-122.4597
"808",201,8,94306,37.419389,-122.13273
"809",550,4,94582,37.76,-121.93
"810",175,4,94588,37.68973,-121.89244
"811",10.5,1,94708,37.894625,-122.26372
"812",25,1,95008,37.278843,-121.95446
"813",25,1,95018,37.057708,-122.05967
"814",25,1,95125,37.295092,-121.89649
"815",25,1,95746,38.743811,-121.19013
"816",25,1,95818,38.556576,-121.49285
"817",360,2,95826,38.550098,-121.37492
"818",55,2,97007,45.469079,-122.85602
"819",25,1,98023,47.309021,-122.36178
"820",40,2,98053,47.640972,-122.03318
"821",25,1,98056,47.510739,-122.18372
"822",75,2,98058,47.448322,-122.14584
"823",25,1,98065,47.530639,-121.83053
"824",17.98,5,98102,47.63287,-122.32253
"825",25,1,98108,47.546188,-122.31514
"826",125,4,98155,47.753019,-122.30373
"827",25,1,98198,47.397521,-122.315
"828",25,1,98662,45.671806,-122.57894
